# addr size bucket subsystem class how
0040acc0      7 LEAK           gameobject/ai                      AICommandWaits::Wait_FacingObject                  callers
0040acd0     67 LEAK           gameobject/ai                      (nearby)                                           layout-weak
0040ad20    157 LEAK           gameobject/ai                      (nearby)                                           layout-weak
0040adc0     39 LEAK           gameobject/character               WallCover                                          callers
0040adf0     41 LEAK           gameobject/character               WallCover                                          callers
0040ae20     42 LEAK           gameobject/character               (module-range)                                     layout
0040ae60     67 LEAK           gameobject/character               (module-range)                                     layout
0040af00     98 LEAK           gameobject/character               CharacterObject                                    callers
0040af70     31 LEAK           gameobject/ai                      AITask_ReactToStaggeredStim                        callers
0040af90     24 MISSING-ENGINE engine/UNCLASSIFIED                (nearby)                                           layout-weak
0040afb0     12 MISSING-ENGINE engine/UNCLASSIFIED                AreFeetOnGround                                    callers
0040afc0    100 MISSING-ENGINE engine/UNCLASSIFIED                (nearby)                                           layout-weak
0040b030     60 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040b070     26 MISSING-ENGINE lib/fight                          LocomotionTrack                                    callers
0040b090    279 MISSING-ENGINE lib/fight                          (nearby)                                           layout-weak
0040b1c0     13 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040b1d0      7 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040b1e0     27 LEAK           gameobject/character               WallCover                                          callers
0040b250     11 LEAK           gameobject/character               (nearby)                                           layout-weak
0040b260     15 LEAK           gameobject/character               (nearby)                                           layout-weak
0040b270     68 LEAK           gameobject/character               (nearby)                                           layout-weak
0040b2c0     68 SHR-DERIVED    atg/pure3d                         (nearby)                                           layout-weak
0040b310     30 SHR-DERIVED    atg/pure3d                         content::LoadInventory::DynamicCaster<pure3d::Animation> vtable
0040b330    188 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040b3f0     29 LEAK           gameobject/ai                      (nearby)                                           layout-weak
0040b410    101 LEAK           gameobject/ai                      (nearby)                                           layout-weak
0040b480     37 LEAK           gameobject/ai                      AICoverState                                       callers
0040b4b0    105 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040b520    202 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
0040b5f0    244 LEAK           gameobject/character               CharacterObject                                    callers
0040b6f0     95 MISSING-ENGINE engine/nis                         NISManager                                         callers
0040b750    137 LEAK           gameobject/ai                      AITask_VehicleGetIn                                callers
0040b7e0     36 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
0040b810     18 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040b830    286 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
0040b950    121 MISSING-ENGINE engine/database                    CharacterFightVolumeBroker                         callers
0040b9d0     44 MISSING-ENGINE engine/UNCLASSIFIED                FloatBinaryExprNode                                callers
0040ba00    318 MISSING-ENGINE engine/UNCLASSIFIED                (nearby)                                           layout-weak
0040bbb0    559 MISSING-ENGINE engine/UNCLASSIFIED                (nearby)                                           layout-weak
